First Name,Last Name,Draft Year,Years of Service
Eric,Paschall,2019,1
Thurl,Bailey,1983,12
Ed,Pinckney,1985,12
John,Vallely,0,2
Kenny,Gattison,1986,9
Treveon,Graham,2015,4
Bob,Quick,0,4
Peter,Maravich,0,1
Lorenzo,Romar,0,5
Dennis,Hamilton,0,2
Wayne,See,0,1
Tony,Bennett,0,3
Doug,Bolstorff,0,1
Jeff,Ayres,2009,5
Chris,McCray,2006,1
Johnny,Oldham,0,2
Tim,Young,1999,1
Zoran,Planinic,2003,3
Mirza,Teletovic,2007,5
Andre,Iguodala,2004,15
Willie,Warren,2010,1
Jim,Walsh,0,1
Michael,Kidd-Gilchrist,2012,7
Obinna,Ekezie,1999,4
Kirk,Penney,2003,2
Wesley,Matthews,2009,10
Perry,Moss,0,2
Furkan,Aldemir,2012,1
Audie,Norris,0,3
Sam,Mack,0,7
Will,Solomon,2001,2
Danny,Manning,1988,15
Darryl,Watkins,2007,2
Mitch,McGary,2014,1
Tyler,Cook,2019,1
Les,Hunter,0,1
Walker,Russell,0,6
Aaron,Harrison,2015,2
Luis,Montero,2015,1
Woody,Sauldsberry,0,7
Dale,Ellis,1983,17
Jay,Carty,0,1
Jim,Seminoff,0,4
Donald,Whiteside,0,0
De'Aaron,Fox,2017,3
Mark,Crow,0,1
DeMarcus,Nelson,2008,1
Darrell,Arthur,2008,8
Tracy,Jackson,0,3
John,Murphy,0,1
Michael,Porter Jr.,2018,1
Norton,Barnhill,0,1
Yue,Sun,2007,1
Bernard,King,0,14
Allen,Leavell,0,10
Rodrick,Rhodes,1997,3
Jaylen,Adams,2018,1
Sid,Catlett,0,1
Justin,Dentmon,2009,2
Rick,Mahorn,1980,18
Walt,Miller,0,1
Alvin,Williams,1997,9
Amir,Coffey,2019,1
C.J.,Wilcox,2014,2
Henry,Sims,2012,3
Johnny,McCarthy,0,6
Sam,Lacey,0,13
Jay,Humphries,0,11
Willie,McCarter,0,3
Ersan,Ilyasova,2005,11
Josh,Childress,2004,8
Earl,Gardner,0,1
Bobby,Wilson,0,4
Davis,Bertans,2011,4
James,Lang,2003,1
Chris,Herren,1999,2
Benoit,Benjamin,1985,15
Andy,Tonkovich,0,1
Norvel,Pelle,0,1
Alton,Ford,2001,3
O.J.,Mayo,2008,7
Edwin,Ubiles,2010,1
John,Edwards,2004,2
Hakeem,Olajuwon,1984,18
Derrick,Coleman,1990,15
Gerry,Calabrese,0,2
Vince,Taylor,0,1
Evan,Eschmeyer,1999,4
Latrell,Sprewell,1992,13
Rod,Derline,0,2
Paul,Huston,0,1
Claude,English,0,1
Ike,Anigbogu,2017,2
Jesse,Dark,0,1
Eric,Anderson,0,2
Gil,McGregor,0,1
Kobi,Simmons,2017,2
Stan,Washington,0,1
Ramon,Sessions,2007,10
Bobby,Washington,0,2
Admiral,Schofield,2019,1
Quinndary,Weatherspoon,2019,1
Jackie,Moreland,0,5
Sam,Jones,0,12
Art,Harris,0,4
David,Lee,2005,11
Ruben,Patterson,1998,10
Keith,Starr,0,1
Mitchell,Wiggins,0,6
Jack,Toomay,0,3
Jamal,Robinson,0,0
Dragan,Bender,2016,4
Sebastian,Telfair,2004,10
Boris,Diaw,2003,13
Bennie,Swain,0,1
Wallace,Jones,0,3
Lee,Winfield,0,7
Gerald,Henderson,0,13
Donald,Hodge,1991,5
Chris,Smith,2012,0
Chris,Clemons,2019,1
Javaris,Crittenton,2007,2
Phil,Farbman,0,1
Booker,Booker,0,2
Bryan,Warrick,0,4
Mark,Workman,0,2
Ben,Hansbrough,2011,1
Ron,Harper,1986,15
Alonzo,Gee,2009,7
Sedric,Toney,0,5
Darius,Songaila,2002,8
JaMychal,Green,2012,5
Jack,Cooley,2013,2
Trey,Johnson,2007,3
Victor,Alexander,1991,5
Don,May,0,7
D'Angelo,Russell,2015,4
Greg,Dreiling,1986,10
Tyrone,Corbin,1985,16
Glenn,Mosley,0,2
Keldon,Johnson,2019,1
Jermaine,O'Neal,1996,18
Tom,Meschery,0,10
Orien,Greene,2005,4
Thaddeus,Young,2007,12
Myles,Patrick,0,1
Adam,Morrison,2006,3
Greg,Fillmore,0,2
Kevin,Lynch,0,2
Dan,Dickau,2002,6
Alex,English,0,15
Matt,Mooney,2019,1
Lucian,Whitaker,0,1
Mike,Smrek,1985,7
Pepe,Sanchez,0,2
Renaldo,Balkman,2006,6
Mike,Woodson,0,11
Paul,Hogue,0,2
Porter,Meriwether,0,1
Nigel,Hayes,2017,1
Marlon,Garnett,0,0
Spencer,Haywood,0,12
Jarrett,Jack,2005,12
